更新日期,平台,鞋款類別,商品名稱,價格,評價,評論數,賣家,賣家穩定度,網路價,優惠,推薦分數,價格說明,資料來源,商品連結
2026-05-21,momo購物網,女鞋,【NIKE 耐吉】休閒鞋 W Dunk Low 女鞋 白 金屬銀 復古 經典 FV1311-100,3021,4.5,0,momo購物網,0.88,3021,0%,68.7,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15194437&Area=search&mdiv=403&oid=1_24&cid=index&kw=Dunk
2026-05-21,momo購物網,未標示,【NIKE 耐吉】NIKE DUNK LOW 'Pearl Pink' IO4244-100 粉紫 金屬小勾 麂皮 復古 休閒鞋,3030,5.0,1,momo購物網,0.88,3030,0%,83.5,momo 搜尋頁售價,momo 即時搜尋資料（已保存）, https://www.momoshop.com.tw/TP/TP0003634/goodsDetail/TP00036340001267
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】休閒鞋 Dunk Low GTX 男鞋 白 灰 防水 皮革 經典 HQ2053-100,4122,4.8,12,momo購物網,0.88,4122,0%,78.4,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14875866&Area=search&mdiv=403&oid=1_21&cid=index&kw=Dunk
2026-05-21,momo購物網,男鞋,【NIKE 耐吉】休閒鞋 Bluetile x Nike SB Dunk Low Pro 帝王斑蝶 深藍 黑色 男鞋 IQ1323-001,4256,4.5,0,momo購物網,0.88,4256,0%,66.7,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=15245911&Area=search&mdiv=403&oid=1_7&cid=index&kw=Dunk
2026-05-21,momo購物網,女鞋,【NEW BALANCE】NB 運動鞋/復古鞋_女鞋_WL373XB2-B_ML373XF2-D(373系列),1299,4.8,3587,momo購物網,0.88,1299,0%,89.9,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12486897&Area=search&mdiv=403&oid=1_8&cid=index&kw=New%2BBalance
2026-05-21,momo購物網,男女通用,【NEW BALANCE】NB 373系列 復古鞋/運動鞋_女鞋/男鞋(多款可選),1299,4.7,164,momo購物網,0.88,1299,0%,83.3,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14645968&Area=search&mdiv=403&oid=1_17&cid=index&kw=New%2BBalance
2026-05-21,momo購物網,男女通用,【NEW BALANCE】TIER 2 530 男鞋 女鞋 奶茶色 復古 運動 休閒鞋 MR530AA1,1470,4.7,6,momo購物網,0.88,1470,0%,79.2,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11947952&Area=search&mdiv=403&oid=1_22&cid=index&kw=New%2BBalance
2026-05-21,momo購物網,女鞋,【NEW BALANCE】NB 327復古鞋_WS327JB-B_女性_海鹽牛仔,1599,4.5,0,momo購物網,0.88,1599,0%,71.0,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13160176&Area=search&mdiv=403&oid=1_3&cid=index&kw=New%2BBalance
2026-05-21,momo購物網,男女通用,【NEW BALANCE】NB 327 運動鞋 休閒鞋 男鞋 女鞋 多色任選(WS327FTB-B&WS327FTC-B&),1699,4.7,67,momo購物網,0.88,1699,0%,81.6,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14531848&Area=search&mdiv=403&oid=1_12&cid=index&kw=New%2BBalance
2026-05-21,momo購物網,男女通用,【NEW BALANCE】NB 530運動鞋 情侶鞋 休閒鞋 男鞋 女鞋 多款任選(U530ESA-D&U530ESB-D&),1899,5.0,25,momo購物網,0.88,1899,0%,88.5,momo 搜尋頁售價,momo 即時搜尋資料（已保存）,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12749966&Area=search&mdiv=403&oid=1_10&cid=index&kw=New%2BBalance
